Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Block,Lot,Supervisor District,City Analysis Neighborhood,Planning Neighborhood,Lead Agency,Program Area,Project Area,Project Type,Housing Tenure,SSP Acquisition Date,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated/Actual Construction Start Date,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Building Permit Number,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Bedrooms to be determined,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,40% AMi,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,105% AMI,110% AMI,120% AMI,130% AMI,150% AMI,AMI Undeclared,Latitude,Longitude,Location
2018-052d,(5) First Construction Document Issued,SFHA Scattered Sites - Noe,363,Noe,St,94114,3564,70,8,Castro/Upper Market,Castro/Upper Market,MOHCD,Multifamily Securities Program,Not in an OCII Project Area,Rehabilitation,Rental,,,,,02/14/2022,,Mission Housing Development Corporation,,,2021-008229PRJ,2021-008229PRJ (http://propertymap.sfplanning.org/?search=2021-008229PRJ),,,,,21,20,1,95,0,19,2,0,0,0,0,,3,1,1 bd,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,37.763241,-122.4326933,"(37.763241, -122.4326933)"
2019-024,(4) Site Work Permit Issued,65 Ocean Ave,65,Ocean,,94112,6954,18,11,Excelsior,Outer Mission,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,10/22/2021,,,,,2016-006860PRJ,2016-006860PRJ (http://propertymap.sfplanning.org/?search=2016-006860PRJ),,10/24/2019,On-site BMR Project,,193,48,145,25,0,12,17,14,5,0,0,,0,0,0,48,0,0,0,0,0,0,0,0,0,0,19,0,15,0,0,0,14,0,0,0,0,37.7231255,-122.438098,"(37.7231255, -122.438098)"
2020-033,(3) Design with Entitlements Approved,10 South Van Ness,10,South Van Ness,Ave,94103,3506,"003A, 004",6,Mission,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Land Dedication,,,,,,,,,,,2015-004568PRJ (http://propertymap.sfplanning.org/?search=2015-004568PRJ),,,,202206176565,966,0,966,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7742162,-122.4195611,"(37.7742162, -122.4195611)"
2022-008,(3) Design with Entitlements Approved,618-630 Octavia,618-630,Octavia,St,94102,793,37,5,Hayes Valley,Western Addition,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,04/26/2024,,,,,2020-004414PRJ,2020-004414PRJ (http://propertymap.sfplanning.org/?search=2020-004414PRJ),,04/28/2022,On-site BMR Project; Fee Payment,202209273243,40,10,30,25,0,0,6,4,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,2,0,0,37.77791,-122.4247,"(37.77791, -122.4247)"
2016-134,(1) Preliminary Phase,"CP-02 ""Outfield""",,,,94124,,,10,Bayview Hunters Point,Bayview,OCII,OCII Inclusionary Rental Program,Candlestick Point,New Construction,Rental,,,,,04/01/2022,,,,,,  (http://propertymap.sfplanning.org/?search=),,,,,579,58,521,10,0,0,0,0,0,0,0,,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,37.71352981,-122.3852159,"(37.71352981, -122.3852159)"
2021-021,(5) First Construction Document Issued,1140-1142 Florida,1140-1142,Florida,St,94110,4207,6,9,Mission,Mission,MOHCD,Small Sites Program,Not in an OCII Project Area,Rehabilitation,Rental,,,,,,,,,,,  (http://propertymap.sfplanning.org/?search=),,,,202206025444,2,2,0,100,0,0,0,0,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,37.753641,-122.41043,"(37.753641, -122.41043)"
2017-036,(5) First Construction Document Issued,Maceo May Apartments (Treasure Island C3.2),1,Avenue of the Palms,0,94130,8901,5,6,Treasure Island,Treasure Island/YBI,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,08/10/2020,04/08/2019,07/15/2019,08/10/2020,12/02/2022,Chinatown Community Development Center,,"Maceo May Apts, LP",2007.0903GEN-04,2007.0903GEN-04 (http://propertymap.sfplanning.org/?search=2007.0903GEN-04),,,,201810223762,105,104,1,99,0,24,47,34,0,0,0,,14,1,2bd,104,0,0,24,0,0,0,0,0,0,0,0,1,104,0,0,0,0,0,0,0,0,37.8172234,-122.370686,"(37.8172234, -122.370686)"
2016-096,(1) Preliminary Phase,"HPSY II-CP, Block 7",,,,94124,,,10,Bayview Hunters Point,Bayview,OCII,Multifamily Rental Program,Candlestick Point,New Construction,Rental,,04/01/2024,,,04/01/2024,,,,,Not Applicable,,,,,,60,59,1,98,0,0,0,0,0,0,0,59,0,1,0,59,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,37.71648001,-122.3872751,"(37.71648001, -122.3872751)"
2018-025,(5) First Construction Document Issued,1394 Harrison St,1394,Harrison,St,94103,3519,17,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,In-lieu Fee Project,,,,,01/18/2019,,Realtex Group,,,2014.1213,2014.1213 (http://propertymap.sfplanning.org/?search=2014.1213),,05/30/2018,Fee Payment,,67,0,67,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7719297,-122.4113044,"(37.7719297, -122.4113044)"
2016-049,(4) Site Work Permit Issued,901 16th (related to 1200 17th),901,16th,St,94107,3949,1,10,Mission Bay,Potrero Hill,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,03/19/1996,,05/11/2018,,,,,2011.13,2011.1300 (http://propertymap.sfplanning.org/?search=2011.1300),"2011.1300E,2011.1300K,2011.1300PPA,2011.1300U,2011.1300X",05/12/2016,On-site BMR Project,9517742S,260,42,218,16,0,8,17,15,2,0,0,,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,37.7663067,-122.395268,"(37.7663067, -122.395268)"
2021-001,(3) Design with Entitlements Approved,550 O'Farrell,550,O'Farrell,St,94102,318,9,5,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,01/13/2023,,Sandhill O'Farrell LLC,,,2017-004557PRJ,2017-004557PRJ (http://propertymap.sfplanning.org/?search=2017-004557PRJ),,01/14/2021,On-site BMR Project; Fee Payment,202009083652,111,22,89,20,0,0,7,12,3,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,4,0,0,0,5,0,0,0,0,37.7860041,-122.4140304,"(37.7860041, -122.4140304)"
2018-005,(5) First Construction Document Issued,2525 Van Ness,,,,94123,,,2,Marina,Marina,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,05/01/2020,,,,,2016-002728PRJ,2016-002728PRJ (http://propertymap.sfplanning.org/?search=2016-002728PRJ),,,,,28,0,28,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7990113,-122.424363,"(37.7990113, -122.424363)"
2018-007,(3) Design with Entitlements Approved,429 Beale (aka 430 Main),429,Beale,St,94105,3767,"305, 306",6,Financial District/South Beach,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,05/22/2020,,"Reuben, Junius & Rose, LLP",,,2014-002033PRJ,2014-002033PRJ (http://propertymap.sfplanning.org/?search=2014-002033PRJ),,05/24/2018,On-site BMR Project,200903134091,144,19,125,13,0,8,3,8,0,0,0,,0,0,0,19,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,37.7872364,-122.3903999,"(37.7872364, -122.3903999)"
2017-027,(5) First Construction Document Issued,1629 Market,1,Brady,St,94103,3505,32,6,Mission,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,10/18/2019,,,,,2015-005848PRJ,2015-005848PRJ (http://propertymap.sfplanning.org/?search=2015-005848PRJ),,10/19/2017,On-site BMR Project,201901039599,484,58,426,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,37.7735293,-122.4203114,"(37.7735293, -122.4203114)"
2021-026,(3) Design with Entitlements Approved,560 Brannan,560,Brannan,St,94107,3777,44,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,11/17/2023,01/10/2026,,,,2019-013276PRJ,2019-013276PRJ (http://propertymap.sfplanning.org/?search=2019-013276PRJ),,11/18/2021,On-site BMR Project; Fee Payment,,120,18,102,15,0,10,1,7,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,0,4,0,0,0,0,37.7774127,-122.3980188,"(37.7774127, -122.3980188)"
1982-008,(4) Site Work Permit Issued,Yosemite Apartments,480,Eddy,St,94109,334,14,5,Tenderloin,Downtown/Civic Center,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,Rehabilitation,Rental,,03/15/2023,08/19/2020,03/07/2023,03/15/2023,02/15/2024,Tenderloin Neighborhood Development Corporation (TNDC),,,2016-006801PRJ,2016-006801PRJ (http://propertymap.sfplanning.org/?search=2016-006801PRJ),,,,201912190012,32,32,0,100,0,31,1,0,0,0,0,,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,3,0,0,0,0,0,0,0,37.7837883,-122.4155723,"(37.7837883, -122.4155723)"
2023-008,(2) Predevelopment Feasibility,250 Laguna Honda Blvd Family,250,Laguna Honda,Blvd,94116,2819,51,7,West of Twin Peaks,West of Twin Peaks,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,Mission Housing Development Corporation,Northern California Presbyterian Homes & Services,,,  (http://propertymap.sfplanning.org/?search=),,,,,115,114,1,99,0,0,25,60,30,0,0,,8,1,0,114,0,0,29,0,29,0,29,6,5,6,0,6,62,0,0,0,0,0,0,0,0,37.7500654,-122.4612092,"(37.7500654, -122.4612092)"
2016-084,(4) Site Work Permit Issued,2675 Folsom,2675,Folsom,St,94110,3639,"006, 007",9,Mission,Mission,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,12/07/2018,,06/07/2019,,Muhammad A. Nadhiri,,,2014-000601PRJ,2014-000601PRJ (http://propertymap.sfplanning.org/?search=2014-000601PRJ),,09/22/2016,On-site BMR Project,201607283625,117,19,98,16,0,4,8,7,0,0,0,,0,0,0,19,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,37.7546616,-122.4138977,"(37.7546616, -122.4138977)"
2020-027,(4) Site Work Permit Issued,2550 Irving,2550,Irving,St,94122,1724,38,4,Sunset/Parkside,Outer Sunset,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,,,04/15/2024,11/30/2025,,,,2021-012100PRJ,2021-012100PRJ (http://propertymap.sfplanning.org/?search=2021-012100PRJ),,,,,90,89,1,99,0,9,34,23,24,0,0,,20,1,1bd,89,0,0,22,0,22,0,0,32,15,17,0,13,12,0,0,0,0,0,0,0,0,37.7634957,-122.4850023,"(37.7634957, -122.4850023)"
2021-016,(3) Design with Entitlements Approved,1525 Pine,1525,Pine,St,94109,667,20,3,Nob Hill,Nob Hill,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,07/21/2023,,,,,2015-009955PRJ,2015-009955PRJ (http://propertymap.sfplanning.org/?search=2015-009955PRJ),,07/22/2021,On-site BMR Project; Fee Payment,201802080768,21,2,19,10,0,2,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,37.789368,-122.4208221,"(37.789368, -122.4208221)"
1990-001,(4) Site Work Permit Issued,San Cristina,1000,Market,St,94102,350,1,5,Tenderloin,Downtown/Civic Center,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,Rehabilitation,Rental,,,,,01/15/2020,,,,,2020-000113PRJ,2020-000113PRJ (http://propertymap.sfplanning.org/?search=2020-000113PRJ),,,,201912270786,58,58,0,100,58,0,0,0,0,0,0,,8,0,0,0,0,0,14,0,0,0,0,32,0,26,0,0,0,0,0,0,0,0,0,0,0,37.7819457,-122.4111789,"(37.7819457, -122.4111789)"
2022-003,(3) Design with Entitlements Approved,600 McAllister,600,McAllister,St,94102,768,72,5,Western Addition,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,S. Hekemian Group,,,2019-014735PRJ,2019-014735PRJ (http://propertymap.sfplanning.org/?search=2019-014735PRJ),,,,,196,29,167,15,0,17,0,12,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,6,0,0,0,6,0,0,0,0,37.7800455,-122.4223927,"(37.7800455, -122.4223927)"
2016-048,(5) First Construction Document Issued,Oceanwide Center,40,1st,St,94105,3708,3,6,Financial District/South Beach,Financial District,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,In-lieu Fee Project,,,02/01/2017,06/09/2017,06/09/2017,,,,,2006.1523,2006.1523 (http://propertymap.sfplanning.org/?search=2006.1523),,05/05/2016,Fee Payment,201510301303,265,0,265,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7903707,-122.3986245,"(37.7903707, -122.3986245)"
2017-028,(3) Design with Entitlements Approved,888 Tennessee,888,Tennessee,St,94107,4060,1,10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,10/18/2019,,"Reuben, Junius & Rose, LLP",,,2013.0975,2013.0975 (http://propertymap.sfplanning.org/?search=2013.0975),,,,201808207808,110,17,93,15,0,3,7,6,1,0,0,,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,37.7606028,-122.3897609,"(37.7606028, -122.3897609)"
2023-013,(3) Design with Entitlements Approved,67-69 Belcher St,67-69,Belcher,St,94114,3537,74,8,Castro/Upper Market,Castro/Upper Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,03/21/2025,,,,,2021-011813PRJ,2021-011813PRJ (http://propertymap.sfplanning.org/?search=2021-011813PRJ),,03/23/2023,On-site BMR Project,,21,5,16,24,0,0,1,3,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,37.76818,-122.42981,"(37.76818, -122.42981)"
2016-097,(1) Preliminary Phase,Transbay Block 12,,,,94105,,,6,Financial District/South Beach,South of Market,OCII,Multifamily Rental Program,Transbay,New Construction,Rental,,12/31/2027,,,12/31/2027,06/23/2029,,,,,,,,,,80,79,1,99,0,0,0,0,0,0,0,79,0,1,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,37.78431875,-122.3947255,"(37.78431875, -122.3947255)"
2020-019,(1) Preliminary Phase,Balboa Reservoir Building A,,,,94112,,,7,West of Twin Peaks,West of Twin Peaks,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,,,01/01/2024,,,,,,  (http://propertymap.sfplanning.org/?search=),,,,,181,179,2,99,0,18,44,71,47,0,0,,0,2,2bd; 3bd,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(0.0, 0.0)"
2020-043,(5) First Construction Document Issued,Diva Hotel,440,Geary,St,94102,306,7,3,Tenderloin,Downtown/Civic Center,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,Rehabilitation,Rental,,,10/06/2021,,,,Episcopal Community Services,,,,  (http://propertymap.sfplanning.org/?search=),,,,202011068430,127,127,0,100,0,0,0,0,0,0,0,,0,0,0,0,0,0,127,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.787189,-122.410606,"(37.787189, -122.410606)"
2016-128,(3) Design with Entitlements Approved,CPS-Block 8a,95,Harney,Way,94124,5000,34,10,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 2,New Construction,Ownership,,,,,07/01/2023,,,,,,  (http://propertymap.sfplanning.org/?search=),,05/16/2017,,201712277404,127,13,114,10,0,0,0,0,0,0,0,,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,37.711111,-122.3864271,"(37.711111, -122.3864271)"
2023-003,(2) Predevelopment Feasibility,40-42 Sycamore,40-42,Sycamore,St,94110,3576,68,9,Mission,Mission,MOHCD,Small Sites Program,Not in an OCII Project Area,Rehabilitation,Rental,,,,,,,Mission Economic Development Agency,,,,  (http://propertymap.sfplanning.org/?search=),,,,,5,5,0,100,0,1,2,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,37.76284,-122.42036,"(37.76284, -122.42036)"
2014-008,(5) First Construction Document Issued,MIRA Podium,,,,94105,,,6,Financial District/South Beach,Financial District,OCII,Limited Equity Program,Transbay,New Construction,Ownership,,05/01/2017,,,05/25/2017,02/01/2020,,,,Not Applicable,,,,,,76,76,0,100,0,0,42,19,15,0,0,,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,25,26,25,0,0,0,0,0,0,37.789696,-122.3916959,"(37.789696, -122.3916959)"
2015-033d,(3) Design with Entitlements Approved,Sunnydale Block 7,,,,,,,10,Visitacion Valley,Visitacion Valley,MOHCD,HOPE SF,Not in an OCII Project Area,New Construction,Rental,,09/11/2023,,,09/11/2023,09/01/2025,Mercy Housing CA,,,,2010.0305PHA-05 (http://propertymap.sfplanning.org/?search=2010.0305PHA-05),,,,,89,80,9,90,0,0,14,43,23,0,0,,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2018-051,(4) Site Work Permit Issued,4101 3rd St,4101,3rd,St,94124,5260,1,10,Bayview Hunters Point,Bayview,OCII,OCII Inclusionary Rental Program,Bayview Hunters Point,New Construction,Rental,,,06/30/2020,,,,,,,Not Applicable,,,,On-site BMR Project,201912179714,35,5,30,14,0,0,2,3,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,37.7399595,-122.3885466,"(37.7399595, -122.3885466)"
2016-073,(4) Site Work Permit Issued,1740 Market,1740,Market,St,94102,855,10,6,Hayes Valley,Western Addition,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,12/05/2018,,06/05/2019,,Warner Schmalz,,,2014.0409,2014.0409 (http://propertymap.sfplanning.org/?search=2014.0409),"2014.0409CUA,2014.0409ENV,2014.0409PPA,2014.0409U,2014.0409VAR",07/28/2016,On-site BMR Project,201610210918,100,12,88,12,0,1,5,4,2,0,0,,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,37.772544,-122.423102,"(37.772544, -122.423102)"
2020-009,(3) Design with Entitlements Approved,3700 California,3700,California,St,94118,1016,2,2,Presidio Heights,Presidio Heights,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,,,,,,2017-003559PRJ,2017-003559PRJ (http://propertymap.sfplanning.org/?search=2017-003559PRJ),,,Fee Payment,201912240631,273,0,273,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7864818,-122.4563025,"(37.7864818, -122.4563025)"
2023-14,(3) Design with Entitlements Approved,4550-4570 Mission St,4550-4570,Mission,St,94112,3148,1,11,Excelsior,Outer Mission,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,03/21/2025,,,,,2012-000438PRJ,2012-000438PRJ (http://propertymap.sfplanning.org/?search=2012-000438PRJ),,03/23/2023,On-site BMR Project,,69,17,52,25,0,0,9,6,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,5,0,0,0,0,37.72513,-122.43483,"(37.72513, -122.43483)"
2012-001g,(2) Predevelopment Feasibility,Alice Griffith Phase 6 (Block 9),,,,94124,,,10,Bayview Hunters Point,Bayview,OCII,HOPE SF,Candlestick Point,New Construction,Rental,,04/01/2024,,,04/01/2024,12/01/2025,McCormack Baron Salazar,,Entity to be formed,Not Applicable,,,,,,131,130,1,99,0,0,130,0,0,0,0,,13,1,2bd,0,130,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,37.7188128,-122.3867505,"(37.7188128, -122.3867505)"
2018-011,(5) First Construction Document Issued,603 Tennessee,603,Tennessee,St,94107,3995,15,10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,10/16/2018,,,,,2015-011202PRJ,2015-011202PRJ (http://propertymap.sfplanning.org/?search=2015-011202PRJ),,01/30/2018,On-site BMR Project,201602260667,24,3,21,13,0,1,0,2,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,37.7640252,-122.3896032,"(37.7640252, -122.3896032)"
2018-057,(3) Design with Entitlements Approved,768 Harrison,768,Harrison,St,94107,3751,33,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,In-lieu Fee Project,,,,,10/31/2020,,,,,2013.1872,2013.1872 (http://propertymap.sfplanning.org/?search=2013.1872),,11/02/2018,Fee Payment,201406269588,11,0,11,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7815,-122.39911,"(37.7815, -122.39911)"
2015-010,(4) Site Work Permit Issued,19-25 Mason & 2-16 Turk,19-25,Mason,St,94102,340,2,5,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,In-lieu Fee Project,,,12/05/2018,,06/05/2019,,"American Pacific International Capital, Inc.",,,2012.0678,2012.0678 (http://propertymap.sfplanning.org/?search=2012.0678),"2012.0678C,2012.0678E,2012.0678K,2012.0678PPA,2012.0678U,2012.0678V,2012.0678X",04/16/2015,Fee Payment,201711093594,155,0,155,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7833157,-122.4091154,"(37.7833157, -122.4091154)"
2016-111,(4) Site Work Permit Issued,249 Pennsylvania Ave,249,Pennsylvania,Ave,94107,3999,15,10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,10/10/2018,,04/10/2019,,,,,2014.1279,2014.1279 (http://propertymap.sfplanning.org/?search=2014.1279),"2014.1279ENV,2014.1279ENX,2014.1279U,2014.1279U_OLD",11/03/2016,On-site BMR Project,201611223357,59,10,49,17,0,0,0,0,0,0,0,,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,37.7633284,-122.3933872,"(37.7633284, -122.3933872)"
2021-009,(3) Design with Entitlements Approved,2800 Geary,2800,Geary,Blvd,94118,1069,13,2,Presidio Heights,Presidio Heights,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,06/16/2023,,,,,2019-023105PRJ,2019-023105PRJ (http://propertymap.sfplanning.org/?search=2019-023105PRJ),,06/17/2021,On-site BMR Project,202211307389,42,13,29,31,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,4,0,0,37.7826327,-122.449422,"(37.7826327, -122.449422)"
2022-007,(2) Predevelopment Feasibility,375 14th St,375,14th,St,94103,3547,018B,9,Mission,Mission,MOHCD,Small Sites Program,Not in an OCII Project Area,Rehabilitation,Rental,,,,,,,,,,2022-003455PRL,2022-003455PRL (http://propertymap.sfplanning.org/?search=2022-003455PRL),,,,,16,16,0,100,0,12,4,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,37.7679557,-122.4216406,"(37.7679557, -122.4216406)"
2020-015,(1) Preliminary Phase,Potrero Yard Affordable Housing,2500,Mariposa,St,94110,3971,1,9,Mission,Mission,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,,,,,  (http://propertymap.sfplanning.org/?search=),,,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7637807,-122.4089419,"(37.7637807, -122.4089419)"
2016-058,(5) First Construction Document Issued,"HPSY I, Block 52 (Inclusionary)",11,Jerrold,Ave,94124,4591C,216,10,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 1,New Construction,Ownership,,,,,07/01/2020,,,,,Not Applicable,,,06/07/2014,,201910033486,77,9,68,12,0,3,3,3,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,37.7272087,-122.3694421,"(37.7272087, -122.3694421)"
2016-122,(5) First Construction Document Issued,1335 Larkin,1335,Larkin,St,94109,645,3,3,Nob Hill,Nob Hill,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,08/09/2017,11/13/2018,11/13/2018,,Town Consulting,,,2013.0491,2013.0491 (http://propertymap.sfplanning.org/?search=2013.0491),,,,201403100361,22,0,22,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7903263,-122.4193399,"(37.7903263, -122.4193399)"
2021-004,(3) Design with Entitlements Approved,321 Florida,321,Florida,St,94110,3965,22,9,Mission,Mission,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,DM Development,,,,2018-016808PRJ (http://propertymap.sfplanning.org/?search=2018-016808PRJ),,,,,168,23,145,14,0,9,5,9,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,4,0,0,0,5,0,0,0,0,37.7649623,-122.4111543,"(37.7649623, -122.4111543)"
2018-047,(4) Site Work Permit Issued,937-949 Clay St,937-949,Clay,St,94108,224,32,3,Chinatown,Chinatown,MOHCD,Big Sites Program,Not in an OCII Project Area,Rehabilitation,Rental,,,,,04/13/2021,,Chinatown Community Development Center,,,,  (http://propertymap.sfplanning.org/?search=),,,,202212218894,70,69,1,99,68,0,1,0,1,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,37.7939158,-122.4084984,"(37.7939158, -122.4084984)"
